Nombre,Autor,Año_Publicación,Género,Disponibilidad
Cien años de soledad,Gabriel García Márquez,1967,Ficción,20
El diario de Ana Frank,Ana Frank,1947, Autobiografía,10
1984,George Orwell,1949,Distopía,3
Matar a un ruiseñor,Harper Lee,1960,Literatura Clásica,15
El gran Gatsby,F. Scott Fitzgerald,1925,Ficción, 6
Orgullo y prejuicio,Jane Austen,1813,Romance, 10
Crimen y castigo,Fiódor Dostoyevski,1866,Literatura Rusa, 4
Don Quijote de la Mancha,Miguel de Cervantes,1605,Literatura Clásica,16
El nombre de la rosa,Umberto Eco,1980,Misterio,8
La sombra del viento,Carlos Ruiz Zafón,2001,Misterio,5
El código Da Vinci,Dan Brown,2003,Thriller,2
Los pilares de la Tierra,Ken Follett,1989, Ficción Histórica,8
El alquimista,Paulo Coelho, 1988, Autoayuda,3
Harry Potter y la piedra filosofal,J.K. Rowling,1997,Fantasía,7
El señor de los anillos,J.R.R. Tolkien, 1954, Fantasía, 6
El principito,Antoine de Saint-Exupéry,1943, Ficción,1
Cumbres borrascosas,Emily Brontë, 1847, Drama,3
La metamorfosis,Franz Kafka, 1915, Literatura existencialista,9
El retrato de Dorian Gray,Oscar Wilde, 1890, Ficción,3
Fahrenheit 451,Ray Bradbury,1953,Ciencia ficción,1
Problemas y Ejercicios de Análisis Matemático,Boris P.Demidovich,1980,Matemáticas y ciencias exactas,7
Cálculo de Varias Variables: Trascendentes Tempranas,James Stewart,2013,Matemáticas y ciencias exactas,10
Geometría Analítica,Charles H. Lehmann, 953,Matemáticas y ciencias exactas,5
Physics,David Halliday,2010,Ciencias físicas,7
Física para Ciencias e Ingeniería: Volumen 2,Raymond A. Serway,2015,Ciencias físicas,10
Dinámica,Douglas Figueroa,2007,Ciencias físicas,6
Pensar rápido y pensar despacio, Daniel Kahneman, 2011, Ciencias Sociales,15
El gen egoísta,Richard Dawkins,1976,Evolución,10
Sapiens: De animales a dioses,Yuval Noah Harari, 2011,Antropología,3
Moby-Dick,Herman Melville,1851,Literatura Marítima,5
Titanic: El viaje del infame,Daniel Allen Butler,1998,Narrativa Marimítima,10
Marfil,Mercedes Ron,2019,Romance juvenil,5
Ébano,Mercedes Ron,2019,Romance juvenil,3
Cumbres Borrascosas,Emily Brontë,1847,Literatura Clásica,1
El cero y el infinito,Arthur Koestler,1940,Thriller Político,4
El psicoanalista,John Katzenbach,2002,Thriller Psicológico,6
Chainsaw man: primera parte,Tatsuki Fujimoto,2018,Fantasía oscura,5
Chainsaw man: segunda parte,Tatsuki Fujimoto, 2022,Fantasía oscura,3
Yakuza Fiancé: Raise wa Tanin ga Ii,Asuka Konishi,2017,Drama,1
One Piece,Eiichiro Oda,1997,Aventura,5
Mein Kampf,Adolf Hitler,1925,ensayo político y autobiografía,1
